//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

akwardpotion;373;16;Awkward Potion
alchemistamulet;mln24;0;item.ml_dwarves_amulet.name
alchimistexplosive;2919;3;tile.ml_stone_deco.3.name
arrow;262;0;Arrow
beefcooked;364;0;Steak
beefraw;363;0;Raw Beef
bone;352;0;Bone
book;340;0;Book
bookandquill;386;0;Book and Quill
bookshelves;47;0;Bookshelf
bottle;374;0;Glass Bottle
boudin;mln21;0;item.ml_boudin.name
bow;261;0;Bow
bowlempty;281;0;Bowl
bowlsoup;282;0;Mushroom Stew
bread;297;0;Bread
brickmould;mln32;0;item.ml_brickmould.name
bricks;45;0;Bricks
bucketempty;325;0;Bucket
bucketlava;327;0;Lava Bucket
bucketmilk;335;0;Milk
bucketwater;326;0;Water Bucket
byzantineboots;mln84;0;item.ml_byzantineBoots.name
byzantinehelmet;mln82;0;item.ml_byzantineHelmet.name
byzantineiconlarge;mln80;0;item.ml_byzantineiconlarge.name
byzantineiconmedium;mln79;0;item.ml_byzantineiconmedium.name
byzantineiconsmall;mln78;0;item.ml_byzantineicon.name
byzantinelegs;mln81;0;item.ml_byzantineLegs.name
byzantinemace;mln85;0;item.ml_byzantineMace.name
byzantineplate;mln83;0;item.ml_byzantinePlate.name
byzantinestonetiles;2924;0;tile.byzantine_mixedbrick.name
byzantinetiles;2922;0;tile.byzantine_brick.name
byzantinetileslab;2923;0;tile.byzantine_brick_slab.name
cacauhaa;mln94;0;item.ml_cacauhaa.name
cactus;81;0;Cactus
cake;92;0;Cake
calva;mln5;0;item.ml_calva.name
carrot;391;0;Carrot
chainboots;305;0;Iron Chain Boots
chainchest;303;0;Iron Chain Armor
chainhelmet;302;0;Iron Chain Helmet
chainlegs;304;0;Iron Chain Leggings
chickencurry;mln31;0;item.ml_chickencurry.name
chickenmeat;365;0;Raw Chicken
chickenmeatcooked;366;0;Cooked Chicken
cider;mln4;0;item.ml_cider.name
ciderapple;mln3;0;item.ml_ciderapple.name
clay;337;0;Clay
clock;347;0;Clock
clothes_byz_silk;mln86;1;item.clothes_byz_silk.name
clothes_byz_wool;mln86;0;item.clothes_byz_wool.name
coal;263;0;Coal
cobblestone;4;0;Cobblestone
compass;345;0;Compass
cookedbrick;2919;0;tile.ml_stone_deco.0.name
cookie;357;0;Cookie
denier;mln0;0;item.ml_denier.name
denierargent;mln2;0;item.ml_denier_argent.name
denieror;mln1;0;item.ml_denier_or.name
diamond;264;0;Diamond
diamondaxe;279;0;Diamond Axe
diamondboots;313;0;Diamond Boots
diamondchest;311;0;Diamond Chestplate
diamondhelmet;310;0;Diamond Helmet
diamondhoe;293;0;Diamond Hoe
diamondlegs;312;0;Diamond Leggings
diamondpickaxe;278;0;Diamond Pickaxe
diamondshovel;277;0;Diamond Shovel
diamondsword;276;0;Diamond Sword
dirt;3;0;Dirt
dirtwall;2918;1;tile.ml_earth_deco.1.name
dye_black;351;0;Ink Sac
dye_blue;351;4;Lapis Lazuli
dye_brown;351;3;Cocoa Beans
dye_cyan;351;6;Cyan Dye
dye_gray;351;8;Gray Dye
dye_green;351;2;Cactus Green
dye_lightblue;351;12;Light Blue Dye
dye_lightgray;351;7;Light Gray Dye
dye_lime;351;10;Lime Dye
dye_magenta;351;13;Magenta Dye
dye_orange;351;14;Orange Dye
dye_pink;351;9;Pink Dye
dye_purple;351;5;Purple Dye
dye_red;351;1;Rose Red
dye_white;351;15;Bone Meal
dye_yellow;351;11;Dandelion Yellow
egg;344;0;Egg
enderpearl;368;0;Ender Pearl
feather;288;0;Feather
feta;mln90;0;item.ml_feta.name
fishcooked;350;0;Cooked Fish
fishraw;349;0;Raw Fish
flint;318;0;Flint
flintandsteel;259;0;Flint and Steel
ghasttear;370;0;Ghast Tear
glass;20;0;Glass
gold;266;0;Gold Ingot
goldaxe;286;0;Golden Axe
goldboots;317;0;Golden Boots
goldchest;315;0;Golden Chestplate
goldhelmet;314;0;Golden Helmet
goldhoe;294;0;Golden Hoe
goldlegs;316;0;Golden Leggings
goldore;14;0;Gold Ore
goldpickaxe;285;0;Golden Pickaxe
goldshovel;284;0;Golden Shovel
goldsword;283;0;Golden Sword
grapes;mln75;0;item.ml_vine.name
gravel;13;0;Gravel
gunpowder;289;0;Gunpowder
ikayaki;mln96;0;item.ml_ikayaki.name
indianstatue;mln34;0;item.ml_indianstatue.name
iron;265;0;Iron Ingot
ironore;15;0;Iron Ore
japaneseguardboots;mln70;0;item.ml_japaneseGuardBoots.name
japaneseguardhelmet;mln68;0;item.ml_japaneseGuardHelmet.name
japaneseguardlegs;mln67;0;item.ml_japaneseGuardLegs.name
japaneseguardplate;mln69;0;item.ml_japaneseGuardPlate.name
japanesewarriorblueboots;mln62;0;item.ml_japaneseWarriorBlueBoots.name
japanesewarriorbluehelmet;mln60;0;item.ml_japaneseWarriorBlueHelmet.name
japanesewarriorbluelegs;mln59;0;item.ml_japaneseWarriorBlueLegs.name
